ID;NOM;PRENOM;AGE;
0;Annes;Zanin;86
1;Yaraildarhal;Ansrelnes;64
2;Seless;Luethus;20
3;Firhal;Sehdarnin;74
4;Huran;Eirelel;32
5;Hudreran;Nytherdre;48
6;Fines;Luedulthi;38
7;Sumtenemar;Afdarnes;75
8;Eiremardar;Firaetheriat;88
9;Caelteness;Marahaltentherther;66
10;Ansraeldul;Yamahnin;87
11;Latenthus;Luemahean;97
12;Kaemarath;Daesanmah;38
13;Amelther;Ahelthusevar;89
14;Sumellian;Sehemardul;90
15;Afdarean;Sylhaless;0
16;Daeriamaheanean;Caelemarlian;87
17;Ladredreten;Amamahdre;24
18;Sumhal;Fiemardar;80
19;Gilthusel;Zaemaraelmah;19
20;Hatherath;Caelthus;13
21;Maitensan;Fisdulther;76
22;Afdarthi;Eirdarthus;65
23;Yahal;Ladredar;86
24;Gilemar;Gardethemar;3
25;Maidardrim;Huhalthi;18
26;Maradreel;Firsan;15
27;Shethusdeth;Sheriaemar;85
28;Kaevar;Sumriaran;44
29;Haevar;Amaeldarmahean;69
30;Nysandulran;Lathusrialian;45
31;Aheanemar;Gariatlian;12
32;Anoth;Sellian;47
33;Gilaeldar;Aelaelhal;32
34;Amriadulemarthus;Sehdul;61
35;Marasan;Garran;21
36;Caeleannin;Lael;0
37;Sumdethemarlian;Eirelean;98
38;Ahsan;Ladrenes;94
39;Fisrailath;Anmahhal;37
40;Firiaran;Angemar;77
41;Kanaelath;Fireanoth;16
42;Kanes;Dhodethiat;77
43;Hariather;Sumiatsanemar;20
44;Aeloth;Selrailaelaelas;2
45;Ahtherdethaeten;Fismahlian;84
46;Huthusmahess;Firdarel;40
47;Firrailnes;Huemaroth;9
48;Firtherlian;Maidul;79
49;Nyemarmah;Amaelran;45
50;Firtherhal;Zadrimdar;24
51;Zaemaroth;Fisdulael;86
52;Gildulhal;Amamahhal;3
53;Daethusdre;Gilraillas;72
54;Evaelsan;Evrailnes;14
55;Shetenoth;Yadethevar;73
56;Fisdarmahel;Huevar;96
57;Aeleantherean;Caelael;9
58;Ladeth;Ameandeth;56
59;Amadardarean;Maratherthus;1
60;Firan;Yasanoth;12
61;Aelther;Caelsannin;51
62;Amemardardulthus;Eirhalaelevar;4
63;Sehdareanath;Daethusnin;46
64;Firthusnin;Angelmahoth;77
65;Nytherran;Seldethoth;5
66;Anaedre;Dhodrimdethean;86
67;Maradeth;Firailel;85
68;Shehal;Sylemarael;16
69;Hadrimdethemar;Sehtensan;20
70;Karaildul;Caeldaroth;65
71;Mailas;Hutherael;77
72;Eiress;Hudulther;91
73;Lueriariasanran;Anraildulemar;2
74;Amevar;Seheanevar;70
75;Laran;Firriamah;73
76;Angel;Ansraelas;71
77;Eirlian;Huduldardul;77
78;Ahdrim;Marathi;68
79;Sehtherthus;Eirtenther;86
80;Ansreliat;Harailnin;91
81;Nyriaten;Zaiat;74
82;Maitensan;Ansremarael;85
83;Fiemarlian;Gilaelael;20
84;Amriasan;Hudrim;1
85;Amdethemar;Fissanel;36
86;Ansress;Kasaniathalel;20
87;Afael;Aersanmah;58
88;Maranes;Zadrimemarevar;5
89;Dhoquethusdar;Aermahtenran;89
90;Zathusther;Amdareanath;8
91;Eirhaltherel;Gilemaroth;27
92;Lueran;Angemardul;42
93;Angael;Garrailoth;53
94;Ansress;Nydulmaheless;5
95;Amriaten;Fistherdrim;10
96;Aelhal;Sumrailnes;1
97;Amsandulsan;Maithusdeth;15
98;Dhodrim;Amtensanthuslian;20
99;Syliatdar;Aerdethemar;1
100;Maimahaelean;Dhoduliat;55
101;Afsanlas;Sheriahal;91
102;Fistentendeth;Dhothussan;80
103;Sumemar;Aerthuseldethiat;88
104;Aerrailten;Karailaelmah;37
105;Yaess;Kaniatevar;41
106;Amadrimdethoth;Eirsandar;19
107;Aheanael;Maratenran;13
108;Firtenhal;Firthusaedar;89
109;Yadrimran;Sumaenin;84
110;Fidrimsanthus;Lahalean;78
111;Sehtenaedar;Laquesan;70
112;Ahsanmah;Hanes;25
113;Caelellas;Dhooth;76
114;Gilaedre;Luethereanel;80
115;Ahther;Amdul;65
116;Sheriadrenin;Maidrim;5
117;Sheoth;Dhohalsan;37
118;Sheteneannin;Anthusiat;64
119;Dhotherdrim;Huath;88
120;Selmah;Aelhal;0
121;Nydethath;Evtherthus;40
122;Ahevar;Hatherael;22
123;Maidrim;Caelemarthusael;53
124;Eveandar;Syleltenath;66
125;Anrianin;Kadar;59
126;Eveansan;Fidrimnin;73
127;Garrailsan;Amaelthus;54
128;Hanin;Ahaelhal;36
129;Sheriaiat;Firduliat;26
130;Nydrimdrim;Larailthi;88
131;Nydrehal;Fidardar;57
132;Hutherthus;Ansremarsanemar;99
133;Lueriahal;Anriadeth;50
134;Caelemarnes;Aerevar;39
135;Luetherdethiat;Sumthusnes;1
136;Zaath;Evther;26
137;Kanemardrim;Sumtenlian;23
138;Gillas;Ansandul;52
139;Sherailther;Zadethath;21
140;Kaniatran;Anmahaemah;16
141;Aeleanthus;Anael;56
142;Huelthus;Firiarailemarsan;92
143;Sheemardre;Dhomahemar;32
144;Caeldaraenin;Hudrether;98
145;Gildethath;Sheeloth;44
146;Aerhalten;Yaelriaemar;56
147;Yasan;Laess;87
148;Yaevar;Maidethelten;33
149;Kanmahsan;Daethersan;58
150;Firsan;Firsanthus;91
151;Angeandrim;Zateniat;30
152;Angelean;Firiat;65
153;Nysaniat;Ahran;81
154;Mairailath;Huraildul;57
155;Amaedul;Hariathus;18
156;Aeleaness;Eiremardarthi;34
157;Fisiatthus;Hutherdul;82
158;Maramahdre;Seltenel;61
159;Maradrimdardar;Fismahemarlas;58
160;Caelmahthersan;Giliatriaelther;5
161;Evriaelath;Andardul;70
162;Hudre;Laduliat;1
163;Luedarsanemar;Aeldethiat;72
164;Angaeten;Zaoth;21
165;Mairiariatherdrim;Sumeandrim;85
166;Maradrimemar;Yaath;37
167;Gartendre;Zaemardar;29
168;Maidrimevar;Gardardul;47
169;Amamahnes;Afdrim;28
170;Aerelther;Fismahdethess;13
171;Garnes;Hasanoth;86
172;Maidrehal;Ladultenhal;41
173;Aerdulemar;Aerdarhaldre;19
174;Eiraelnin;Fitennin;64
175;Daeduldrim;Gildulath;83
176;Firtherevar;Zadardrim;77
177;Maraelrailhal;Aeleanthi;94
178;Hahalther;Seltendardarnin;21
179;Eirriahal;Amiatael;15
180;Gareanten;Sheelean;95
181;Dhohalmah;Sumthusnin;34
182;Garsaniat;Ladrim;31
183;Sheemareanean;Yadetheannin;20
184;Afdethemarel;Afhalevar;94
185;Ansraether;Maihalran;29
186;Lueriadariat;Gardethiat;44
187;Fithuslian;Gillas;17
188;Ladeth;Sylthi;59
189;Afdulhal;Gilelthi;19
190;Lamahthusess;Caelsanthus;79
191;Zathusiat;Eviatrailmahevar;28
192;Fistendrim;Evaelthus;36
193;Zather;Garemarean;72
194;Mailas;Maitherrailoth;21
195;Ansreannes;Kadre;6
196;Afeanthus;Nymahoth;5
197;Karaildeth;Sehdulnes;10
198;Maraemaremar;Luetherellian;13
199;Hutheroth;Sylath;44
200;Marathi;Daedarran;14
201;Zatenel;Daemaheldethoth;88
202;Nyriateniat;Maraemarsanhaldre;45
203;Gilaelthus;Nyriamah;66
204;Sylriather;Ahevar;19
205;Seliataelmahlas;Kanaeldar;20
206;Amatendre;Shether;42
207;Amdardul;Dhodrimiat;44
208;Selthussan;Fihalthus;85
209;Laqueraillian;Aeraesan;43
210;Eirhaldre;Ansrel;57
211;Sumeansan;Yarailaeldre;11
212;Aeremar;Karailsanrailten;11
213;Evdethean;Sylaethus;53
214;Firael;Daeriaoth;14
215;Firtenran;Gilten;92
216;Aerel;Fismahlas;25
217;Gariat;Sehiat;9
218;Zariatendul;Afhalsan;87
219;Yaath;Sheteneanten;87
220;Annin;Angelrailath;58
221;Ladredul;Aerdareanemar;91
222;Syldarean;Ahdethoth;11
223;Kadrehaldre;Haemariat;60
224;Firiatmah;Shethus;95
225;Amahalevar;Fisdaremar;24
226;Kaniatten;Katenemardeth;17
227;Seheanael;Sumaehal;46
228;Sylthusdul;Eviatel;87
229;Afaeldre;Latennes;14
230;Evther;Gilean;88
231;Sheemar;Eirelthi;64
232;Laemaremar;Gariatran;73
233;Laemarriadeth;Yariaemar;28
234;Syldeth;Eiriatdar;51
235;Amathusrailnin;Laelael;69
236;Daesaniatdar;Sehmahoth;8
237;Evaelmah;Hariatherel;33
238;Garduldrim;Angaelean;38
239;Selel;Caeldarsannin;5
240;Caeltherhal;Caelhalmah;85
241;Garaelten;Syldardul;20
242;Huten;Fisemarhaldeth;16
243;Amarailaelten;Angaeldar;40
244;Mararailiat;Anaeran;23
245;Huther;Firrailsanelel;32
246;Yaqueduldrim;Garthusmahdar;58
247;Maithusnin;Garaelthi;89
248;Garaether;Maramahiat;34
249;Caeleloth;Sylriarailaedul;75
250;Sumaelel;Sheelthi;84
251;Shetherdardeth;Fisdarlian;15
252;Gildar;Amtendul;97
253;Gareandullian;Afhaliat;25
